,original_title,label,sentences,imageArrays,overview
840,Bound,7,easily best film wachowskis ever done heartily wish stayed lowkey radar made great scorching films like one,"[[[0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  ...
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]]

 [[0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  ...
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]]

 [[0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  ...
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]]

 ...

 [[0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  ...
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]]

 [[0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  ...
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]]

 [[0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  ...
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]
  [0.9529412  0.9607843  0.95686275]]]","Corky, a tough female ex con and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caeser."
853,The Relic,6,pots misdemeanour decapitation seems bit severe the relic directed peter hyams also cinematographer based bestselling novel written douglas preston lincoln child the film stars tom sizemore penelope ann miller james whitmore linda hunt the music score composed john debney the museum natural history chicago takes delivery crates south america sent employee john whitney one crates appears full leaves however museum prepares launch major exhibition citys top brass present security guard horrifically killed can superstitious cop lt vincent dagosta sizemore evolutionary biologist dr margo green miller get bottom mystery late from bunch creature feature movies surfaced the relic may win prizes originality plotting scores high tension gloopy fun though decent budget evident film old fashioned values make creature feature work rank file staples come thick fast boo jump moments characters refusing accept unnormal silly kids silly coppers potential hero heroine possible romance scifi babble curse course creature big hybrid god knows kothoga snarling slimy monstrosity goes museum lopping heads inept human beings carefree abandon whats like though hyams genius director cv suggests capable crafting polished movie such case movie story given good technical treatment the lighting may adjust settings editing serve atmosphere well sound work required horror requisitional standard more importantly though hyams aware building tension unleashing creature far soon we know killer get little snippets hell breaks loose big museum event get see monster let part animatronicpart computer effect kothoga original scarily great fun so much thankfully steers viewers away pedestrian performances cast not bad exactly grizzled spunky beauty sizemore miller respectively doesnt really grab attention the best actor show whitmore tracing lovely creature feature line them badly written used still minor acting issues matters ready made saturday night beer snacks give go may enjoy more little genuinely funny dialogue think creature pretty cool design im pretty sure dont know though every time appears virtually complete darkness final had lot appealed quite work whole,"[[[0.        0.        0.       ]
  [0.        0.        0.       ]
  [0.        0.        0.       ]
  ...
  [0.        0.        0.       ]
  [0.        0.        0.       ]
  [0.        0.        0.       ]]

 [[0.        0.        0.       ]
  [0.        0.        0.       ]
  [0.        0.        0.       ]
  ...
  [0.        0.        0.       ]
  [0.        0.        0.       ]
  [0.        0.        0.       ]]

 [[0.        0.        0.       ]
  [0.        0.        0.       ]
  [0.        0.        0.       ]
  ...
  [0.        0.        0.       ]
  [0.        0.        0.       ]
  [0.        0.        0.       ]]

 ...

 [[0.8156863 0.        0.       ]
  [0.8156863 0.        0.       ]
  [0.8156863 0.        0.       ]
  ...
  [0.8156863 0.        0.       ]
  [0.8156863 0.        0.       ]
  [0.8156863 0.        0.       ]]

 [[0.8156863 0.        0.       ]
  [0.8156863 0.        0.       ]
  [0.8156863 0.        0.       ]
  ...
  [0.8156863 0.        0.       ]
  [0.8156863 0.        0.       ]
  [0.8156863 0.        0.       ]]

 [[0.8156863 0.        0.       ]
  [0.8156863 0.        0.       ]
  [0.8156863 0.        0.       ]
  ...
  [0.8156863 0.        0.       ]
  [0.8156863 0.        0.       ]
  [0.8156863 0.        0.       ]]]","A researcher at Chicago's Natural History Museum returns from South America with some crates containing his findings. When the crates arrive at the museum without the owner there appears to be very little inside. However, police discover gruesome murders on the cargo ship that brought the crates to the US and then another murder in the museum itself."
854,The Island of Dr. Moreau,5,troubled production semicoherent entertainment ever wonder col kurtz wouldve ended survived end apocalypse now well know he exiled deserted island create humanimals horror horror this version the island dr moreau troubled production articles books documentaries made like documentary lost soul the doomed journey richard stanleys island dr moreau stanley championed project wrote screenplay set direct fired days filming due conflicts val kilmer wasnt best moods due served divorce papers set actually main reason stanley fired he fine small indie productions league blockbuster like veteran filmmaker john frankenheimer brought save production complete disaster he got job done tyrannical approach help matters the production bad fairuza balk catlady aissa literally tried escape set caught airport nick time add brandos wellknown eccentricities helped recent suicide daughter cheyenne constant rewrites formula cinematic chaos in light horrible production ensuing bad press would think would lousy movie actually that bad see people dont like parts third act pretty crazy dont flow well youre sucker lostonanisland type yarns appreciate mood insanity films like apocalypse now original planet apes its madhouse madhouse youll probably appreciate dont get wrong nowhere near caliber either films comparisons inevitable entertaining bits the main problem story isnt compelling flow movie mostly apparent mounting craziness final third tempts viewer tune thankfully positives the title sequence kinetic dazzling score gary chang varied allaround phenomenal plot intriguing humanimal makeup actors quite good daniel rigneys hyenaswine standing rigney would dead mere year films release creative pizazz like marlon brandos stint captivating always albeit fat bastage inclusion dr moreaus minime hilarious hindsight austin powers trilogy flashes nigh greatness like edwards revelatory talk aissa third act marlons dr moreau variation kurtz ie nutjob jungle albeit twenty years later for brando fans enjoyable seeing old age this one final films shows magnetic charm end furthermore interesting themes the humanimals get live dr moreaus abode humanlike appearance animals living smelly humanimal village forest humanlike one aissa even refers daughter wouldnt lead tensions factions moreover moreau benevolent dictator hes still dictator dictators rarely good when hyenaswine usurps crown immediately becomes malevolent dictator the original version runs minutes dc minutes the film shot cairns queensland australia grade,"[[[0.10196079 0.20392157 0.10588235]
  [0.09803922 0.2        0.10196079]
  [0.09411765 0.19607843 0.09803922]
  ...
  [0.10980392 0.21176471 0.10588235]
  [0.09411765 0.19607843 0.09019608]
  [0.09019608 0.19215687 0.08627451]]

 [[0.09411765 0.19607843 0.09803922]
  [0.10588235 0.20784314 0.10980392]
  [0.09803922 0.2        0.10196079]
  ...
  [0.10588235 0.20784314 0.10196079]
  [0.09019608 0.20392157 0.09411765]
  [0.09803922 0.21176471 0.10196079]]

 [[0.10588235 0.20784314 0.10980392]
  [0.09019608 0.19215687 0.09411765]
  [0.10588235 0.20784314 0.10980392]
  ...
  [0.11372549 0.21568628 0.11764706]
  [0.09411765 0.19607843 0.09803922]
  [0.09803922 0.2        0.10196079]]

 ...

 [[0.01176471 0.01176471 0.01176471]
  [0.01568628 0.01568628 0.01568628]
  [0.01176471 0.01176471 0.01176471]
  ...
  [0.01176471 0.01176471 0.01176471]
  [0.01176471 0.01176471 0.01176471]
  [0.01176471 0.01176471 0.01176471]]

 [[0.01568628 0.01568628 0.01568628]
  [0.01568628 0.01568628 0.01568628]
  [0.01568628 0.01568628 0.01568628]
  ...
  [0.01176471 0.01176471 0.01176471]
  [0.01176471 0.01176471 0.01176471]
  [0.01176471 0.01176471 0.01176471]]

 [[0.01568628 0.01568628 0.01568628]
  [0.01568628 0.01568628 0.01568628]
  [0.01176471 0.01176471 0.01176471]
  ...
  [0.01176471 0.01176471 0.01176471]
  [0.01176471 0.01176471 0.01176471]
  [0.01176471 0.01176471 0.01176471]]]",A shipwrecked sailor stumbles upon a mysterious island and is shocked to discover that a brilliant scientist and his lab assistant have found a way to combine human and animal DNA with horrific results.
855,First Kid,5,my expectations emfirst kidem low regard actually marginally better thought would still film certainly wouldnt recommend sinbad gives noteworthy performance cast role simms even isnt anything great memorable all others arent worth mentioning though cool see rafiki robert guillaume make appearance didnt actually know looked like watching one early scenes laughs knew instantly man the plot lets just quick glance cover gives negative vibes opening scenes dont give confidence either its extremely predictable well rather messy dont see villain final minutes waiting around obvious come fruition ive seen worse liveaction disney still poor attempt studio,"[[[0.22745098 0.6901961  0.87058824]
  [0.22745098 0.6901961  0.87058824]
  [0.22745098 0.6901961  0.87058824]
  ...
  [0.20392157 0.69411767 0.8745098 ]
  [0.19607843 0.6862745  0.8666667 ]
  [0.19607843 0.6862745  0.8666667 ]]

 [[0.22745098 0.6901961  0.87058824]
  [0.22745098 0.6901961  0.87058824]
  [0.22745098 0.6901961  0.87058824]
  ...
  [0.2        0.6901961  0.87058824]
  [0.19607843 0.6862745  0.8666667 ]
  [0.18039216 0.67058825 0.8509804 ]]

 [[0.22745098 0.6901961  0.87058824]
  [0.22745098 0.6901961  0.87058824]
  [0.22745098 0.6901961  0.87058824]
  ...
  [0.2        0.6901961  0.87058824]
  [0.20392157 0.69411767 0.8745098 ]
  [0.20392157 0.69411767 0.8745098 ]]

 ...

 [[0.33333334 0.5529412  0.29803923]
  [0.3372549  0.5529412  0.29803923]
  [0.34117648 0.57254905 0.30588236]
  ...
  [0.29411766 0.50980395 0.28627452]
  [0.3019608  0.5176471  0.29411766]
  [0.32156864 0.5372549  0.3137255 ]]

 [[0.3254902  0.52156866 0.3137255 ]
  [0.30980393 0.5058824  0.29803923]
  [0.30980393 0.5372549  0.30980393]
  ...
  [0.32941177 0.54901963 0.30980393]
  [0.3137255  0.53333336 0.29411766]
  [0.3137255  0.53333336 0.29411766]]

 [[0.30980393 0.52156866 0.28627452]
  [0.31764707 0.52156866 0.2784314 ]
  [0.3529412  0.5647059  0.32156864]
  ...
  [0.28627452 0.5294118  0.28235295]
  [0.28235295 0.5254902  0.2784314 ]
  [0.27450982 0.5176471  0.27058825]]]","Some say that to be the leader of a country is one of the loneliest jobs in the world. But being the child of a world leader can be doubly so. Constantly surrounded by security officers, restricted in movements and having almost every waking moment carefully monitored makes normalcy an impossibility. No one knows this better than young Luke Davenport, the son of U.S. President Davenport. He vents his loneliness, frustration and feelings of isolation from family and friends by being a brat to his private Secret Service agent. When the agent snaps from the strain in front of the First Lady, a new agent is assigned to Luke. He turns out to be the enormous Sam Simms, a bit of a rogue who managed to rise through the ranks by sheer determination rather than strict adherence to Secret-Service protocol. At first, Luke tries all his old tricks upon Sam. But instead of getting angry, Sam seems to actually understand."
859,Bulletproof,5,dont like god your god scares starring adam sandler damon wayans former criminal latter cop plot sees mismatched pair thrust together bring criminal kingpin james caan so set nicely high energy action comedy realm buddy buddy bonanza sadly energy burn execution comedy weak point makers resort base level comedy writing try get laughs the odd line raises chuckle quite often followed period inanity turn followed ballsy action sequence makers aware quickly need keep demographic genre fans back clock all budding bromance thats coupled lame homophobic undertones revolver butt gag seriously threatens turn brokeback mountain buddy buddy action genre film hell screenplay even whiff misogyny the stars badly served poor writing direction guilty offering chemistry free movie dulls senses interim talking sequences its hard believe pair actors the wedding singer the last boy scout respective curricula vitae this waste talent wasted opportunity something fun exciting pic marginally saved shootouts fisticuffs inclined course oh james caan thinking working food,"[[[0.6862745  0.8        0.972549  ]
  [0.67058825 0.78431374 0.95686275]
  [0.6745098  0.7882353  0.9607843 ]
  ...
  [0.61960787 0.7137255  0.8862745 ]
  [0.6156863  0.7058824  0.8784314 ]
  [0.6156863  0.7058824  0.8784314 ]]

 [[0.6862745  0.8        0.972549  ]
  [0.68235296 0.79607844 0.96862745]
  [0.6784314  0.7921569  0.9647059 ]
  ...
  [0.62352943 0.7176471  0.8901961 ]
  [0.61960787 0.70980394 0.88235295]
  [0.61960787 0.70980394 0.88235295]]

 [[0.67058825 0.79607844 0.95686275]
  [0.68235296 0.80784315 0.96862745]
  [0.6745098  0.8        0.9607843 ]
  ...
  [0.62352943 0.7176471  0.8901961 ]
  [0.61960787 0.7176471  0.8784314 ]
  [0.61960787 0.7176471  0.8784314 ]]

 ...

 [[0.00392157 0.00392157 0.01176471]
  [0.00392157 0.00392157 0.01176471]
  [0.00392157 0.00392157 0.01176471]
  ...
  [0.00392157 0.00392157 0.01176471]
  [0.00392157 0.00392157 0.01176471]
  [0.00392157 0.00392157 0.01176471]]

 [[0.00392157 0.00392157 0.01176471]
  [0.00392157 0.00392157 0.01176471]
  [0.00392157 0.00392157 0.01176471]
  ...
  [0.00392157 0.00392157 0.01176471]
  [0.00392157 0.00392157 0.01176471]
  [0.00392157 0.00392157 0.01176471]]

 [[0.00392157 0.00392157 0.01176471]
  [0.00392157 0.00392157 0.01176471]
  [0.00392157 0.00392157 0.01176471]
  ...
  [0.00392157 0.00392157 0.01176471]
  [0.00392157 0.00392157 0.01176471]
  [0.00392157 0.00392157 0.01176471]]]","An undercover police officer named Rock Keats befriends a drug dealer and car thief named Archie Moses in a bid to catch the villainous drug lord Frank Coltan. But the only problem is that Keats is a cop, his real name is Jack Carter, and he is working undercover with the LAPD to bust Moses and Colton at a sting operation the LAPD has set up."
861,The Land Before Time III: The Time of the Great Giving,6,how can it be the time of great giving its the land before time no time only land worst antagonists yet like south park less believable final boringdisappointing avoid possible,"[[[0.9843137  0.30588236 0.23921569]
  [0.9843137  0.29411766 0.23529412]
  [0.9764706  0.2784314  0.23137255]
  ...
  [0.9607843  0.40392157 0.24705882]
  [0.9607843  0.40392157 0.25490198]
  [0.9372549  0.38039216 0.23137255]]

 [[0.98039216 0.3764706  0.24313726]
  [1.         0.38431373 0.25490198]
  [0.99215686 0.36862746 0.2509804 ]
  ...
  [0.90588236 0.3647059  0.22352941]
  [0.9019608  0.36078432 0.21960784]
  [0.9098039  0.36862746 0.22745098]]

 [[0.9764706  0.39215687 0.22745098]
  [0.9647059  0.36862746 0.20784314]
  [0.9764706  0.37254903 0.22352941]
  ...
  [0.85490197 0.23921569 0.21960784]
  [0.8666667  0.24313726 0.22745098]
  [0.84313726 0.21960784 0.20392157]]

 ...

 [[0.25490198 0.43529412 0.6666667 ]
  [0.44313726 0.6313726  0.8235294 ]
  [0.60784316 0.7921569  0.95686275]
  ...
  [0.94509804 0.80784315 0.5568628 ]
  [0.94509804 0.80784315 0.5568628 ]
  [0.94509804 0.80784315 0.5568628 ]]

 [[0.6784314  0.8156863  0.9411765 ]
  [0.65882355 0.8117647  0.93333334]
  [0.62352943 0.78039217 0.91764706]
  ...
  [0.94509804 0.80784315 0.5568628 ]
  [0.94509804 0.80784315 0.5568628 ]
  [0.94509804 0.80784315 0.5568628 ]]

 [[0.69411767 0.8392157  0.9411765 ]
  [0.6509804  0.78039217 0.91764706]
  [0.56078434 0.6901961  0.8509804 ]
  ...
  [0.94509804 0.80784315 0.5568628 ]
  [0.94509804 0.80784315 0.5568628 ]
  [0.94509804 0.80784315 0.5568628 ]]]","Littlefoot and his friends are constantly being bullied and browbeaten by three teenage dinosaurs: Hyp, a Hypsilophodon; Nod, a Nodosaurus; and Mutt, a Muttaburrasaurus. However, when a shower of meteorites (flying rocks) impacts near the Great Valley and causes a rock slide in the Mysterious Beyond, which blocks the water supply of the Great Valley, Hyp, Nod, and Mutt are no longer the biggest worry of Littlefoot and his friends. The increasing lack of water causes conflicts between the inhabitants of the Great Valley, who have lived in relative peace and harmony until this event."
864,Halloween: The Curse of Michael Myers,5,like idea bringing back tommy doyle adult dont like every idea movie but mikeys got decent kills bearable stretch final had things appeal poor finished product mess sequel six years michael myers previously terrorized haddonfield illinois returns pursuit niece jamie lloyd escaped shadowy druid cult newborn marianne hagan paul rudd play main protagonists donald pleasence returns last portrayal dr loomis mitchell ryan kim darby also hand the curse michael also known actually fifth movie featuring michael myers seeing season totally disconnected michael myers story arc fan especially former actually better original movie one finest examples slashers naturally expecting quality sequel wow installment lacked sense cinematic finesse whatsoever the entire opening act tortuous mess story didnt even start get interesting past mark unfortunately failed build little interest mustered trading conventional horror thrills hospital la but characters weakly developed care like concept establish characters even tell compelling story meanwhile suddenshock scares kept surfacing eyerolling hackneyed anything scary this installment equivalent conan barbarian picking expensive guitar trying play classy prog band like opeth the movie runs hour minutes shot salt lake city utah grade,"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.00784314]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.00784314]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.00784314]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]","Six years ago, Michael Myers terrorized the town of Haddonfield, Illinois. He and his niece, Jamie Lloyd, have disappeared. Jamie was kidnapped by a bunch of evil druids who protect Michael Myers. And now, six years later, Jamie has escaped after giving birth to Michael's child. She runs to Haddonfield to get Dr. Loomis to help her again."
871,The Philadelphia Story,8,my yar the highsociety goingson socialite tracy lord whos remarry exhusband ck dexter haven all could make good news story paper sends right man enter macaulay connor unassuming reporter deals share crazy antics nearly gets married films end this excellent funny wholly diverting romantic comedy grand old director george cukor one favorites with three talented knockout stars film sure couldnt go wrong course james stewart snagged best actor oscar and theres cary grant spouting delightful nonsense place memorable little oneliner no mean machiavelli smiling cynical sidney kidd oh lets forget virginia weidler uppity little dinah lord now shes total hoot be sure catch hilarious classic darling movie classy highsociety characters worthy reputation,"[[[0.9647059  0.9411765  0.9490196 ]
  [0.9607843  0.9372549  0.94509804]
  [0.9607843  0.9372549  0.94509804]
  ...
  [0.9529412  0.9137255  0.91764706]
  [0.9529412  0.9137255  0.91764706]
  [0.9529412  0.9137255  0.91764706]]

 [[0.9647059  0.9411765  0.9490196 ]
  [0.9647059  0.9411765  0.9490196 ]
  [0.9647059  0.9411765  0.9490196 ]
  ...
  [0.9529412  0.9137255  0.91764706]
  [0.9529412  0.9137255  0.91764706]
  [0.9529412  0.9137255  0.91764706]]

 [[0.9607843  0.9372549  0.94509804]
  [0.9607843  0.9372549  0.94509804]
  [0.9607843  0.9372549  0.94509804]
  ...
  [0.9529412  0.9137255  0.91764706]
  [0.9529412  0.9137255  0.91764706]
  [0.95686275 0.91764706 0.92156863]]

 ...

 [[0.95686275 0.9411765  0.92941177]
  [0.95686275 0.9411765  0.92941177]
  [0.95686275 0.9411765  0.92941177]
  ...
  [0.9647059  0.94509804 0.93333334]
  [0.9647059  0.94509804 0.93333334]
  [0.9647059  0.94509804 0.93333334]]

 [[0.9607843  0.94509804 0.93333334]
  [0.9607843  0.94509804 0.93333334]
  [0.9607843  0.94509804 0.93333334]
  ...
  [0.9647059  0.9490196  0.94509804]
  [0.9647059  0.9490196  0.94509804]
  [0.9647059  0.9490196  0.94509804]]

 [[0.9607843  0.94509804 0.93333334]
  [0.9607843  0.94509804 0.93333334]
  [0.9607843  0.94509804 0.93333334]
  ...
  [0.972549   0.95686275 0.9529412 ]
  [0.972549   0.95686275 0.9529412 ]
  [0.972549   0.95686275 0.9529412 ]]]","Philadelphia heiress Tracy Lord throws out her playboy husband C.K. Dexter Haven shortly after their marriage. Two years later, Tracy is about to marry respectable George Kittredge whilst Dexter has been working for ""Spy"" magazine. Dexter arrives at the Lord mansion the day before the wedding with journalist Mike Connor and photographer Liz Imbrie, determined to spoil things."
872,Singin' in the Rain,8,just masterpiece mixing interesting background story great script good humor exceptional singers dancers gene kelly genial well sided donald oconnor debbie reynolds must seen im happy singing in the rain greatest musical ever made sure many others push close the wizard of oz one always movie opinion singing in the rain film flaws perfect movie don lockwood star silent movies life boring talking movies arrive eyes opportunity greatly improve life chance encounter dancer kathy selden shape destiny along best pal partner cosmo brown respective fortunes hopefully dovetail towards fulfillment where start the film homage happiness film making love friendships honour film pure simply joyous first reel triumphant last shot featuring stunning choreography singing in the rain doesnt cop merely characters plodding thru script bursting song occasionally song furthers characters fleshes story unfolding keep plot lines tight crucially important make em laugh good morning singing in the rain brilliant songs dance routines show latter legendary piece cinematic history speaks volumes joyous nature film whilst finale sequence broadway ballet magic elegance personified the cast uniformly excellent gene kelly donald oconnor debbie reynolds interplay together like hatched egg joint direction stanley donen along kelly seamless full hat tipping selfreferencing winks singing in the rain regularly hits top ten lists critics movie fans alike lets beat around bush itit flipping well deserves every respect im clearly major major minority honestly though didnt enjoy its certainly worth noting musicals probably least favourite genre im still capable finding entertainment eg emthe greatest showmanem emthe sound musicem others rainem however simply didnt connect theres one maybe two good songs already heard gene kelly don solid fun lead role the premise minus music actually interesting silent film transition era given musical though dont delve deep wanted none songs aside previously alluded singin rain landed well kinda found chore sit frank elsewhere cast aside kelly found debbie reynolds kathy alright donald oconnor cosmo little irritating tries hard liking jean hagen lina likewise tad annoying though thats intentional fair acknowledge film aesthetically looks excellent wish liked overall didnt do feel free ignore,"[[[0.2901961  0.03137255 0.03921569]
  [0.2901961  0.03137255 0.03921569]
  [0.27450982 0.02352941 0.02745098]
  ...
  [0.28627452 0.02745098 0.03137255]
  [0.28627452 0.02745098 0.03137255]
  [0.28235295 0.02352941 0.02745098]]

 [[0.25882354 0.00784314 0.01176471]
  [0.26666668 0.01568628 0.01960784]
  [0.27450982 0.01568628 0.02352941]
  ...
  [0.28235295 0.02352941 0.02745098]
  [0.28235295 0.02352941 0.03137255]
  [0.27450982 0.01568628 0.02352941]]

 [[0.2784314  0.02745098 0.03137255]
  [0.27450982 0.02352941 0.02745098]
  [0.29411766 0.03529412 0.04313726]
  ...
  [0.28235295 0.02352941 0.02745098]
  [0.27450982 0.01568628 0.01960784]
  [0.2784314  0.01960784 0.02352941]]

 ...

 [[1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  ...
  [0.80784315 0.6627451  0.11372549]
  [0.8509804  0.7294118  0.12941177]
  [0.84705883 0.7294118  0.10196079]]

 [[1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  ...
  [0.8352941  0.69411767 0.12156863]
  [0.87058824 0.7607843  0.1254902 ]
  [0.84705883 0.7372549  0.11372549]]

 [[1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  ...
  [0.8666667  0.75686276 0.1254902 ]
  [0.8352941  0.7254902  0.10196079]
  [0.8901961  0.78431374 0.13725491]]]","In 1927 Hollywood, Don Lockwood and Lina Lamont are a famous on-screen romantic pair in silent movies, but Lina mistakes the on-screen romance for real love. When their latest film is transformed into a musical, Don has the perfect voice for the songs, but strident voice faces the studio to dub her voice. Aspiring actress, Kathy Selden is brought in and, while she is working on the movie, Don falls in love with her."
875,Breakfast at Tiffany's,8,know went long without watching movie recently viewed first time it fairly entertaining part audrey hepburn magnetic patricia neal good thought george peppard could injected energy emotion role the rest cast solid especially cat the plot seems rather daring time though careful talking around mature themes thought mickey rooney playing japanese character terrible taste apparently director blake edwards wished could cast it fault thankless role comes across racist modern sensibilities so dazzled story found final scene cat redeemed flaws noticed along way,"[[[1.         0.99215686 0.9019608 ]
  [1.         0.99215686 0.89411765]
  [1.         0.99215686 0.89411765]
  ...
  [1.         0.99215686 0.89411765]
  [1.         0.99215686 0.9019608 ]
  [1.         0.99215686 0.9019608 ]]

 [[1.         0.99215686 0.89411765]
  [1.         0.99215686 0.9019608 ]
  [0.9882353  0.98039216 0.8980392 ]
  ...
  [0.99607843 0.9882353  0.90588236]
  [1.         0.99215686 0.9019608 ]
  [1.         0.99215686 0.9019608 ]]

 [[0.99607843 0.99607843 0.9019608 ]
  [1.         0.99215686 0.9019608 ]
  [0.81960785 0.70980394 0.69803923]
  ...
  [0.9019608  0.8039216  0.7882353 ]
  [1.         0.99215686 0.9019608 ]
  [1.         0.99215686 0.9019608 ]]

 ...

 [[0.99607843 0.9882353  0.8980392 ]
  [0.99607843 0.99607843 0.9019608 ]
  [0.8392157  0.7176471  0.70980394]
  ...
  [1.         1.         0.94509804]
  [1.         0.99215686 0.9019608 ]
  [1.         0.99215686 0.9019608 ]]

 [[0.99607843 0.99607843 0.8862745 ]
  [0.99607843 0.99215686 0.9098039 ]
  [0.81960785 0.72156864 0.7019608 ]
  ...
  [1.         0.98039216 0.9372549 ]
  [1.         0.99215686 0.9019608 ]
  [1.         0.99215686 0.9019608 ]]

 [[0.99607843 0.99215686 0.9098039 ]
  [1.         0.99215686 0.9019608 ]
  [0.99607843 0.99607843 0.89411765]
  ...
  [1.         0.99215686 0.89411765]
  [1.         0.99215686 0.9019608 ]
  [1.         0.99215686 0.9019608 ]]]","Fortune hunter Holly Golightly finds herself captivated by aspiring writer Paul Varjak, who's moved into her building on a wealthy woman's dime. As romance blooms between Paul and Holly, Doc Golightly shows up on the scene, revealing Holly's past."
